CODIGO_MANTENEDORA,RAZAO_SOCIAL,CNPJ,NATUREZA_JURIDICA,CODIGO_IES,NOME_INSTITUICAO,SIGLA,TELEFONE,SITE,EMAIL,ENDERECO,MUNICIPIO,UF,ORGANIZACAO_ACADEMICA,TIPO_CREDENCIAMENTO,CATEGORIA,CATEGORIA_ADMINISTRATIVA,DATA_CRIACAO,CI,ANO_CI,CI_EAD,ANO_CI_EAD,IGC,ANO_IGC,REITOR,REPRESENTANTE_LEGAL,SINALIZACOES,SITUACAO
568,FUNDACAO DE ENSINO SUPERIOR DE GOIATUBA,01.494.665/0001-61,Pessoa Jurídica de Direito Público - Municipal,824,CENTRO UNIVERSITÁRIO DE GOIATUBA (UNICERRADO),UNICERRADO,(64) 3495 8117,www.unicerrado.edu.br,reitoria@unicerrado.edu.br,Rod Go 320 - s/n - CEP: 75600-000 - Jardim Santa Paula,Goiatuba,GO,Centro Universitário,Presencial - Superior,Publica,Pública Municipal,1988-09-27,-,,-,,3,2021,,,,Ativa
565,FUNDACAO INTEGRADA MUNICIPAL DE ENSINO SUPERIOR,01.465.988/0001-27,Pessoa Jurídica de Direito Público - Municipal,4396,CENTRO UNIVERSITÁRIO DE MINEIROS (UNIFIMES),UNIFIMES,(64) 36725100,www.unifimes.edu.br,unifimes@unifimes.edu.br,Rua 22 - S/N - CEP: 75830-000 - Setor Aeroporto,Mineiros,GO,Centro Universitário,EAD - Superior / Presencial - Superior,Publica,Pública Municipal,1985-03-11,-,,-,,3,2021,,,,Ativa
423,FUNDACAO MUNICIPAL CENTRO UNIVERSITARIO DA CIDADE DE UNIAO DA VITORIA - UNIUV,75.967.745/0001-23,Pessoa Jurídica de Direito Público - Municipal,649,CENTRO UNIVERSITÁRIO DE UNIÃO DA VITÓRIA (UNIUV),UNIUV,(42) 3522-1837,www.uniuv.edu.br,uniuv@uniuv.edu.br,Avenida Bento Munhoz da Rocha Neto - 3.856 - CEP: 84600-000 - São Basílio Magno,União da Vitória,PR,Centro Universitário,EAD - Superior / Presencial - Superior,Publica,Pública Municipal,1974-09-19,-,,-,,3,2021,,,,Ativa
16593,COLEGIO PEDRO II,42.414.284/0001-02,Pessoa Jurídica de Direito Público - Federal,21503,COLÉGIO PEDRO II (CP II),CP II,21 2163 5808 / 21 2163 5809,www.cp2.g12.br,reitoriagab@cp2.g12.br,"Campo de São Cristóvão, Colégio Pedro II - 177 - CEP: 20921-903 - São Cristóvão",Rio de Janeiro,RJ,"Instituto Federal de Educação, Ciência e Tecnologia",EAD - Superior / Presencial - Superior,Publica,Pública Federal,2012-06-26,-,,-,,-,,,,,Ativa
18499,SECRETARIA DE ESTADO DA RETOMADA,37.992.607/0001-05,Pessoa Jurídica de Direito Público - Estadual,29928,COLÉGIO TECNOLÓGICO DO ESTADO DE GOIÁS AGUINALDO DE CAMPOS N (COTEC-ACN),COTEC-ACN,,https://cotec.org.br,catalao@cotec.org.br,,,,Faculdade,Presencial - Superior,Publica,Pública Estadual,,-,,-,,-,,,,,Ativa
18499,SECRETARIA DE ESTADO DA RETOMADA,37.992.607/0001-05,Pessoa Jurídica de Direito Público - Estadual,29927,COLÉGIO TECNOLÓGICO DO ESTADO DE GOIÁS GOVERNADOR ONOFRE QUI (COTEC GOQ),COTEC GOQ,,https://cotec.org.br,anapolis@cotec.org.br,,,,Faculdade,Presencial - Superior,Publica,Pública Estadual,,-,,-,,-,,,,,Ativa
18499,SECRETARIA DE ESTADO DA RETOMADA,37.992.607/0001-05,Pessoa Jurídica de Direito Público - Estadual,29929,COLÉGIO TECNOLÓGICO DO ESTADO DE GOIÁS GOVERNADOR OTÁVIO LAG (COTEC GOL),COTEC GOL,,hettps://cotec.org.br,goiansesia@cotec.org.br,,,,Faculdade,Presencial - Superior,Publica,Pública Estadual,,-,,-,,-,,,,,Ativa
18499,SECRETARIA DE ESTADO DA RETOMADA,37.992.607/0001-05,Pessoa Jurídica de Direito Público - Estadual,28542,Colégio Tecnológico do Estado de Goiás Sebastião de Siqueira (COTEC SS),COTEC SS,,https://cotec.org.br/,cotec.pedagogicos@gmail.com,,,,Faculdade,Presencial - Superior,Publica,Pública Estadual,,-,,-,,-,,,,,Ativa
409,COMANDO DO EXERCITO,00.394.452/0001-03,Pessoa Jurídica de Direito Público - Federal,21206,Escola de Educação Física do Exército (EsEFEx),EsEFEx,2125862230,www.esefex.eb.br,comsoc@esefex.eb.br,Avenida João Luís Alves - sn - CEP: 22291-090 - Urca,Rio de Janeiro,RJ,Faculdade,Presencial - Superior,Publica,Pública Federal,2000-12-14,-,,-,,-,,,,,Ativa
52,FUNDACAO MUNICIPAL DE ENSINO DE PIRACICABA,54.393.491/0001-07,Pessoa Jurídica de Direito Público - Municipal,67,ESCOLA DE ENGENHARIA DE PIRACICABA (EEP/FUMEP),EEP/FUMEP,(19) 3412-1101/3412-1102/3412-1103,www.fumep.edu.br,silmara.prata@fumep.edu.br,Avenida Monsenhor Martinho Salgot - 560 - CEP: 13414-040 - Areião,Piracicaba,SP,Faculdade,Presencial - Superior,Publica,Pública Municipal,1968-12-06,-,,-,,3,2021,,,,Ativa
623,FUNDACAO JOAO PINHEIRO,17.464.652/0001-80,Pessoa Jurídica de Direito Público - Estadual,890,ESCOLA DE GOVERNO PROFESSOR PAULO NEVES DE CARVALHO (EG),EG,3134489713,,eg.fjp@fjp.mg.gov.br,Alameda dos Oitis - 140 - CEP: 31270-810 - PAMPULHA,Belo Horizonte,MG,Faculdade,Presencial - Superior,Publica,Pública Estadual,1992-12-14,-,,-,,4,2021,,,,Ativa
18338,COMANDO DA MARINHA,00.394.502/0001-44,Pessoa Jurídica de Direito Público - Federal,29252,ESCOLA DE GUERRA NAVAL (EGN),EGN,0021-2546-9110,http://www.egn.mb/,aragao.carvalho@marinha.mil.br,Avenida Pasteur - 480 - CEP: 22290-255 - Urca,,,Faculdade,Presencial - Superior,Publica,Pública Federal,2014-02-25,-,,-,,-,,,,,Ativa
409,COMANDO DO EXERCITO,00.394.452/0001-03,Pessoa Jurídica de Direito Público - Federal,23028,Escola de Sargentos das Armas (ESA),ESA,(35) 3239-4118,http:www.esa.ensino.eb.br,contato@esa.ensino.eb.br,avenida sete de setembro - 628 - CEP: 37410-000 - centro,Três Corações,MG,Faculdade,Presencial - Superior,Publica,Pública Federal,2019-12-31,-,,-,,-,,,,,Ativa
409,COMANDO DO EXERCITO,00.394.452/0001-03,Pessoa Jurídica de Direito Público - Federal,23026,Escola de Sargentos de Logística (EsSLog),EsSLog,,,comsoc.esslog@gmail.com,Rua João Vicente - 2179 - CEP: 21610-211 - Deodoro,Rio de Janeiro,RJ,Faculdade,Presencial - Superior,Publica,Pública Federal,2019-12-31,-,,-,,-,,,,,Ativa
409,COMANDO DO EXERCITO,00.394.452/0001-03,Pessoa Jurídica de Direito Público - Federal,28984,Escola de Saúde e Formação Complementar do Exército (ESFCEx),ESFCEx,(71) 32058810,www.esfcex.eb.mil.br,comsoc@esfcex.eb.mil.br,,,,Faculdade,Presencial - Superior,Publica,Pública Federal,2022-01-03,-,,-,,-,,,,,Ativa
18187,SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INOVACAO,21.652.711/0001-10,Pessoa Jurídica de Direito Público - Estadual,26974,Escola do Futuro do Estado de Goiás em Artes Basileu França (EFGABF),EFGABF,62 3941-1065,https://basileufranca.com.br/,secretariaacademica@basileufranca.com.br,,,,Faculdade,Presencial - Superior,Publica,Pública Estadual,2021-03-30,-,,-,,-,,,,,Ativa
26,FUNDACAO INSTIT BRAS DE GEOGRAFIA E ESTATISTICA IBGE,33.787.094/0001-40,Pessoa Jurídica de Direito Público - Federal,26,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS (ENCE),ENCE,(21) 2142 4684,http://www.ence.ibge.gov.br,grc@ibge.gov.br,Rua André Cavalcanti - 106 - CEP: 20231-050 - Santa Teresa,Rio de Janeiro,RJ,Faculdade,Presencial - Superior,Publica,Pública Federal,1953-03-06,4,2018,-,,4,2011,,,,Ativa
18338,COMANDO DA MARINHA,00.394.502/0001-44,Pessoa Jurídica de Direito Público - Federal,26780,ESCOLA NAVAL (EN),EN,21 3974-1401 21 3974-1502,,en.secom@marinha.mil.br,,,,Faculdade,Presencial - Superior,Publica,Pública Federal,1782-12-14,-,,-,,-,,,,,Ativa
396,ESCOLA SUPERIOR DE CRUZEIRO PREFEITO HAMILTON VIEIRA MENDES,47.550.074/0001-65,Pessoa Jurídica de Direito Público - Municipal,608,"ESCOLA SUPERIOR DE CRUZEIRO ""PREFEITO HAMILTON VIEIRA MENDES"" (ESEFIC)",ESEFIC,12-3145-1155,www.escesefic.com.br,secretaria@escesefic.com.br,Rua Doutor José Rodrigues Alves Sobrinho - 191 - CEP: 12710-410 - Vila Celestina,Cruzeiro,SP,Faculdade,Presencial - Superior,Publica,Pública Municipal,1970-03-19,-,,-,,2,2021,,,,Ativa
74,MUNICIPIO DE JUNDIAI,45.780.103/0001-50,Administração pública em geral,94,ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA DE JUNDIAÍ (ESEFJ),ESEFJ,(11) 4805-7952,www.esef.br,secretaria@esef.br,Rua Rodrigo Soares de Oliveira - S/N - CEP: 13208-120 - ANHANGABAU,Jundiaí,SP,Faculdade,Presencial - Superior,Privada,Pública Municipal,1974-03-13,-,,-,,-,,,,,Ativa
586,FUNDACAO EDUCACIONAL ARACATUBA,44.417.764/0001-52,Fundação Pública de Direito Privado Municipal,845,FACULDADE DA FUNDAÇÃO EDUCACIONAL ARAÇATUBA (FAC-FEA),FAC-FEA,(18) 3622-8262,www.feata.edu.br,secretaria@feata.edu.br,Rua Maurício de Nassau - 1.191 - CEP: 16050-480 - Santana,Araçatuba,SP,Faculdade,Presencial - Superior,Privada,Pública Municipal,1989-05-08,-,,-,,3,2021,,,,Ativa
17447,POLICIA MILITAR DO ESTADO DE SANTA CATARINA,83.931.550/0001-51,Pessoa Jurídica de Direito Público - Estadual,24530,Faculdade da Polícia Militar de Santa Catarina (FAPOM),FAPOM,(48) 3665.8912,,diedir@pm.sc.gov.br,Avenida Madre Benvenuta - 265 - CEP: 88036-500 - Trindade,Florianópolis,SC,Faculdade,Presencial - Superior,Publica,Pública Estadual,2012-12-12,-,,-,,-,,,,,Ativa
501,FUNDACAO EDUCACIONAL DE ANICUNS,01.203.660/0001-32,Pessoa Jurídica de Direito Público - Municipal,744,FACULDADE DE ANICUNS (FA),FA,(64)35641499,www.faculdadeanicuns.edu.br,procuradoriainstitucional@faculdadeanicuns.edu.br,Go 326 - S/N - CEP: 76170-000 - Centro,Anicuns,GO,Faculdade,Presencial - Superior,Publica,Pública Municipal,1985-05-16,-,,-,,3,2021,,,,Ativa
376,FUND INST TECNOL DE OSASCO,73.050.536/0001-95,Pessoa Jurídica de Direito Público - Municipal,543,FACULDADE DE CIÊNCIAS DA FUNDAÇÃO INSTITUTO TECNOLÓGICO DE OSASCO (FAC-FITO),FAC-FITO,,www.fito.br,FAC@FITO.BR,RUA ANGÉLICA - 100 - CEP: 06132-380 - JD. DAS FLORES,Osasco,SP,Faculdade,Presencial - Superior,Publica,Pública Municipal,1965-02-22,-,,-,,3,2011,,,,Ativa
16820,HOSPITAL NOSSA SENHORA DA CONCEICAO S.A.,92.787.118/0001-20,Empresa Pública,22090,FACULDADE DE CIÊNCIAS DA SAÚDE DO GRUPO HOSPITALAR CONCEIÇÃO (FACS - GHC),FACS - GHC,3357-2800,https://ensinoepesquisa.ghc.com.br/facsghc.html,ctgestaohospitalar@ghc.com.br,Avenida Francisco Trein - 326 - CEP: 91350-200 - Cristo Redentor,Porto Alegre,RS,Faculdade,Presencial - Superior,Privada,Pública Federal,2019-09-10,3,2018,-,,-,,,,,Ativa
341,FUNDACAO MUNICIPAL DE ENSINO SUPERIOR BRAGANCA PAULISTA,45.621.703/0001-75,Pessoa Jurídica de Direito Público - Municipal,495,FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA (FESB),FESB,(11) 4035 7800,www.fesb.br,faculdade@fesb.edu.br,Avenida Francisco Samuel Lucche Filho - 770 - CEP: 12929-600 - Penha,Bragança Paulista,SP,Faculdade,Presencial - Superior,Publica,Pública Municipal,1967-05-03,-,,-,,2,2021,,,,Ativa
584,FUNDACAO MUNICIPAL DE ENSINO DE BIRIGUI,51.109.049/0001-18,Pessoa Jurídica de Direito Público - Municipal,843,FACULDADE DE CIÊNCIAS E TECNOLOGIA DE BIRIGUI (FATEB),FATEB,18-36492200,www.fateb.br,secretaria@fateb.br,Rua Antônio Simões - 04 - CEP: 16200-027 - Centro,Birigui,SP,Faculdade,Presencial - Superior,Publica,Pública Municipal,1987-12-01,-,,-,,2,2021,,,,Ativa
483,AUTARQUIA EDUCACIONAL PARA O DESENV CULTURAL DO CABO,11.690.351/0001-98,Pessoa Jurídica de Direito Público - Municipal,720,FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS APLICADAS DO CABO DE SANTO AGOSTINHO (FACHUCA),FACHUCA,(81) 35210483,www.fachuca.edu.br,fachuca@fachuca.edu.br,Rua do Campo - S/N - CEP: 54510-110 - Destilaria,Cabo de Santo Agostinho,PE,Faculdade,Presencial - Superior,Publica,Pública Municipal,1992-07-28,-,,-,,2,2021,,,,Ativa
49,FACULDADE DE DIREITO DE FRANCA,54.157.748/0001-21,Pessoa Jurídica de Direito Público - Municipal,59,FACULDADE DE DIREITO DE FRANCA (FDF),FDF,16 37134000,www.direitofranca.br,js.saraiva.advogado@hotmail.com,Avenida Major Nicácio - 2377 - CEP: 14401-135 - SÃO JOSÉ,Franca,SP,Faculdade,Presencial - Superior,Publica,Pública Municipal,1958-02-28,-,,-,,3,2021,,,,Ativa
1080,FUNDACAO EDUCACIONAL DE PARAISO DO TOCANTINS FEPAR,26.753.855/0001-87,Privada sem fins lucrativos,1646,FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PARAÍSO (FECIPAR),FECIPAR,(63)36026649;(63)36021272; (63)99871373(63)999398594,www.fecipar.edu.br,soniamariafran@gmail.com;luapviegas16@gmail.com,Rua L-20 - S/N - CEP: 77600-000 - Interlagos,Paraíso do Tocantins,TO,Faculdade,Presencial - Superior,Privada,Pública Municipal,1995-10-06,3,2017,-,,2,2021,,,,Ativa
465,FUNDACAO EDUCACIONAL ITABORAI FEITA,29.872.181/0001-28,Pessoa Jurídica de Direito Público - Municipal,700,FACULDADE DE EDUCAÇÃO DE ITABORAÍ (FEITA),FEITA,,,semeita@ig.com.br;vf.ss@hotmail.com;magaldri@ig.com.br,Avenida Antônio Gomes - 1250 - CEP: 24800-000 - PARQUE ROYAL,Itaboraí,RJ,Faculdade,Presencial - Superior,Publica,Pública Municipal,1979-05-29,-,,-,,SC,2010,,,,Ativa
904,FUNDACAO DE APOIO A ESCOLA TECNICA DO EST.RIO DE JANEIRO,31.608.763/0001-43,Pessoa Jurídica de Direito Público - Estadual,23713,Faculdade de Educação Tecnológica Barra Mansa (FAETERJ B.MANSA),FAETERJ B.MANSA,24 33286483,,direcao@faeterj-brm.faetec.rj.gov.br,Via Sérgio Braga - s/n - CEP: 27330-051 - Barbara,Barra Mansa,RJ,Faculdade,Presencial - Superior,Publica,Pública Estadual,2018-06-28,-,,-,,-,,,,,Ativa
904,FUNDACAO DE APOIO A ESCOLA TECNICA DO EST.RIO DE JANEIRO,31.608.763/0001-43,Pessoa Jurídica de Direito Público - Estadual,19588,Faculdade de Educação Tecnológica do Estado do Rio de Janeiro (FAETERJ CAXIAS),FAETERJ CAXIAS,21 3661-6980,http://www.faeterj-caxias.net,jmaurobianchi@hotmail.com,Rua Almirante Cochrane - s/n - CEP: 25271-000 - Santa Lúcia - Imbariê,Duque de Caxias,RJ,Faculdade,Presencial - Superior,Publica,Pública Estadual,2011-08-17,-,,-,,3,2021,,,,Ativa
904,FUNDACAO DE APOIO A ESCOLA TECNICA DO EST.RIO DE JANEIRO,31.608.763/0001-43,Pessoa Jurídica de Direito Público - Estadual,5053,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO (FAETERJ PARACAMBI),FAETERJ PARACAMBI,(21) 3693-3066,www.faetec.gov.br/desup,faeterj.direcao@gmail.com,Rua Sebastião de Lacerda - s/n - CEP: 26600-000 - Bairro da Fábrica,Paracambi,RJ,Faculdade,Presencial - Superior,Publica,Pública Estadual,2000-11-14,-,,-,,3,2021,,,,Ativa
904,FUNDACAO DE APOIO A ESCOLA TECNICA DO EST.RIO DE JANEIRO,31.608.763/0001-43,Pessoa Jurídica de Direito Público - Estadual,5017,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ (FAETERJ PETRÓPOLIS),FAETERJ PETRÓPOLIS,(24) 2235 1079,www.faetec.rj.gov.br/desup,lcunha@faeterj-petropolis.edu.br,Avenida Presidente Getulio Vargas - 335 - CEP: 25651-070 - Quitandinha,Petrópolis,RJ,Faculdade,Presencial - Superior,Publica,Pública Estadual,2002-03-18,-,,-,,3,2019,,,,Ativa
904,FUNDACAO DE APOIO A ESCOLA TECNICA DO EST.RIO DE JANEIRO,31.608.763/0001-43,Pessoa Jurídica de Direito Público - Estadual,5020,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ (FAETERJ S ANT. PÁDUA),FAETERJ S ANT. PÁDUA,(22) 3853-6031,http://http//www.faetec.rj.gov.br/desup,faetecpadua2015@gmail.com,Travessa João Jabisk - 18 - CEP: 28470-000 - Aeroporto,Santo Antônio de Pádua,RJ,Faculdade,Presencial - Superior,Publica,Pública Estadual,2001-05-23,-,,-,,3,2019,,,,Ativa
904,FUNDACAO DE APOIO A ESCOLA TECNICA DO EST.RIO DE JANEIRO,31.608.763/0001-43,Pessoa Jurídica de Direito Público - Estadual,5021,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ (FAETERJ ITAPERUNA),FAETERJ ITAPERUNA,(22) 98817-0632,http://www.faetec.rj.gov.br/,direcao@faeterj-itp.faetec.rj.gov.br,Rua Aloísio Dias Moreira - 320 - CEP: 28300-000 - Presidente Costa e Silva,Itaperuna,RJ,Faculdade,Presencial - Superior,Publica,Pública Estadual,2001-07-05,-,,-,,3,2019,,,,Ativa
904,FUNDACAO DE APOIO A ESCOLA TECNICA DO EST.RIO DE JANEIRO,31.608.763/0001-43,Pessoa Jurídica de Direito Público - Estadual,5051,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ (FAETERJ BJ ITABAPOAN),FAETERJ BJ ITABAPOAN,(22) 3831-7317,http://www.faetec.rj.gov.br/desup,andreamguedes24@gmail.com,Rua Aristides Figueiredo - 147 - CEP: 28360-000 - Centro,Bom Jesus do Itabapoana,RJ,Faculdade,Presencial - Superior,Publica,Pública Estadual,2001-12-26,-,,-,,2,2021,,,,Ativa
904,FUNDACAO DE APOIO A ESCOLA TECNICA DO EST.RIO DE JANEIRO,31.608.763/0001-43,Pessoa Jurídica de Direito Público - Estadual,5052,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ (FAETERJ TRÊS RIOS),FAETERJ TRÊS RIOS,24 22553129,http://www.faetec.rj.gov.br/desup,diretorfaeterjtr@gmail.com,Av. Tenente Enéas Torno - 70 - CEP: 25802-330 - Nova Niterói,Três Rios,RJ,Faculdade,Presencial - Superior,Publica,Pública Estadual,2001-12-26,-,,-,,4,2021,,,,Ativa
904,FUNDACAO DE APOIO A ESCOLA TECNICA DO EST.RIO DE JANEIRO,31.608.763/0001-43,Pessoa Jurídica de Direito Público - Estadual,5016,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO FERNANDO MOTA (FAETERJ-Rio),FAETERJ-Rio,(21) 2332-4048,http://www.faeterj-rio.edu.br/,profhoracioribeiro@gmail.com,Rua Clarimundo de Melo - 847 - CEP: 21311-280 - Quintino Bocaiuva,Rio de Janeiro,RJ,Faculdade,Presencial - Superior,Publica,Pública Estadual,2002-03-18,-,,-,,4,2021,,,,Ativa
13139,FACELI - FUNDACAO FACULDADES INTEGRADAS DE ENSINO SUPERIOR DO MUNICIPIO DE LINHARES,07.871.399/0001-25,Pessoa Jurídica de Direito Público - Municipal,16010,FACULDADE DE ENSINO SUPERIOR DE LINHARES (FACELI),FACELI,(27) 3373-7900,www.faceli.edu.br,secretaria@faceli.edu.br,Avenida Presidente Costa e Silva - 177 - CEP: 29902-120 - Novo Horizonte,Linhares,ES,Faculdade,Presencial - Superior,Publica,Pública Municipal,2006-09-27,-,,-,,3,2021,,,,Ativa
62,PREFEITURA MUNICIPAL DE ALEGRE,27.174.101/0001-35,Pessoa Jurídica de Direito Público - Municipal,78,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE (FAFIA),FAFIA,2835521412 - 988026692,www.fafia.edu.br,direcao@fafia.edu.br,Rua Belo Amorim - 100 - CEP: 29500-000 - Centro,Alegre,ES,Faculdade,Presencial - Superior,Publica,Pública Municipal,1973-05-03,-,,-,,3,2021,,,,Ativa
1232,FUNDACAO EDUCACIONAL MUNICIPAL DE IBITINGA - FEMIB,02.343.386/0001-60,Pessoa Jurídica de Direito Público - Municipal,1875,"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE IBITINGA (FAIBI)",FAIBI,(16) 33529130,www.faibi.com.br,faibi@faibi.com.br,Rua Roque Raineri - 81 - CEP: 14940-000 - Jardim Centenário,Ibitinga,SP,Faculdade,Presencial - Superior,Publica,Pública Municipal,2000-06-29,-,,-,,3,2021,,,,Ativa
17227,FACULDADE DE FILOS CIENC E LETRAS DE S J DO RIO PARDO,59.900.704/0001-63,Pessoa Jurídica de Direito Público - Municipal,74,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO (FFCL),FFCL,19-3608-3541,www.feucriopardo.edu.br,secretaria.academica@feucriopardo.edu.br,Rua Jorge Tibiriça - 451 - CEP: 13720-000 - CENTRO,São José do Rio Pardo,SP,Faculdade,Presencial - Superior,Publica,Pública Municipal,1964-04-27,-,,-,,2,2021,,,,Ativa
